"","X.1","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","otherFeatureMentioned","typeAttributeMentioned","noAttrOrLevelMentioned","noLevelMentioned","basiclevelAttributeMentioned","basiclevelMentioned","superClassMentioned","superclassattributeMentioned","utteranceContracted","oneMentioned","theMentioned","clickedType","clickedSize","clickedColor","colorPreNominal","sizePreNominal","X","notes"
"527",615,"3695-5",1.45e+12,27,"subSuperTrial","distr23","bedsideTable","target",2,2,"table","furniture","iguana","distrClass3",4,4,NA,"animal","bookcase","distrClass2",3,3,NA,"furniture",1,1,0,"end table","","1450000000000","end table",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"bedsideTable",NA,NA,NA,NA,NA,""
"529",617,"6456-4",1.45e+12,33,"subSuperTrial","distr23","polarBear","target",2,2,"bear","animal","rabbit","distrClass2",4,4,NA,"animal","chips","distrClass3",3,3,NA,"snack",1,1,0,"bear","","1450000000000","bear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"polarBear",NA,NA,NA,NA,NA,""
"530",618,"5934-3",1.45e+12,52,"subSuperTrial","distr23","tulip","target",4,3,"flower","plant","ivy","distrClass2",3,4,NA,"plant","chips","distrClass3",2,2,NA,"snack",2,1,1,"tulip","you already got identifying dogs down","1449261723120___1449261728491","tulip",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"tulip",NA,NA,NA,NA,NA,""
"531",619,"2919-a",1.45e+12,29,"subSuperTrial","distr23","eagle","target",2,4,"bird","animal","snake","distrClass2",4,3,NA,"animal","cookies","distrClass3",3,2,NA,"snack",1,1,0,"eagle","","1450000000000","eagle",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"eagle",NA,NA,NA,NA,NA,""
"532",620,"7830-a",1.45e+12,14,"subSuperTrial","distr23","convertible","target",2,3,"car","vehicle","motorcycle","distrClass2",4,2,NA,"vehicle","cookies","distrClass3",3,4,NA,"snack",1,1,0,"car","","1450000000000","car",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"convertible",NA,NA,NA,NA,NA,""
"533",621,"5076-0",1.45e+12,29,"subSuperTrial","distr23","convertible","target",4,4,"car","vehicle","firetruck","distrClass2",3,3,NA,"vehicle","cookies","distrClass3",2,2,NA,"snack",1,1,0,"Convertible","","1450000000000","Convertible",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"convertible",NA,NA,NA,NA,NA,""
"534",622,"4452-5",1.45e+12,71,"subSuperTrial","distr23","swordFish","target",2,3,"fish","animal","pig","distrClass2",4,4,NA,"animal","cookies","distrClass3",3,2,NA,"snack",1,1,0,"fish","","1450000000000","fish",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"swordFish",NA,NA,NA,NA,NA,""
"535",623,"6456-4",1.45e+12,53,"subSuperTrial","distr23","gummyBears","target",3,2,"candy","snack","rabbit","distrClass3",2,4,NA,"animal","cookies","distrClass2",4,3,NA,"snack",1,1,0,"gummi bears","","1450000000000","gummi bears",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"gummyBears",NA,NA,NA,NA,NA,""
"536",624,"7830-a",1.45e+12,58,"subSuperTrial","distr23","dressShirt","target",4,4,"shirt","clothing","bathrobe","distrClass2",2,2,NA,"clothing","cow","distrClass3",3,3,NA,"animal",1,1,0,"shirt","","1450000000000","shirt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"dressShirt",NA,NA,NA,NA,NA,""
"537",625,"4517-f",1.45e+12,65,"subSuperTrial","distr23","diningTable","target",3,2,"table","furniture","wardrobe","distrClass2",2,3,NA,"furniture","cow","distrClass3",4,4,NA,"animal",1,1,0,"table","","1450000000000","table",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"diningTable",NA,NA,NA,NA,NA,""
