condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,length_sub,length_sub_label,length_basic,length_basic_label,length_super,length_super_label,p_s_sub,p_s_basic,p_s_super
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,7.029412,MED,13.13,HIGH,0.5755977858,0.4222655287,0.0021366855
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,7.029412,MED,13.13,HIGH,0.5535152775,0.4249024208,0.0215823016
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,13.13,HIGH,7.029412,MED,0.9813001622,0.0075329702,0.0111668676
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,13.13,HIGH,7.029412,MED,0.9395004971,0.0541235372,0.0063759658
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,13.13,HIGH,7.029412,MED,0.9046160384,0.0544746682,0.0409092934
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,13.13,HIGH,7.029412,MED,0.6501850117,0.0409694697,0.3088455187
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,3,LOW,3,LOW,0.4389951918,0.5001457169,0.0608590913
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,3,LOW,3,LOW,0.1038142653,0.8876026736,0.0085830611
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,3,LOW,3,LOW,0.095345678,0.8521258326,0.0525284894
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,3,LOW,3,LOW,0.0619630883,0.5794671931,0.3585697186
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,3,LOW,7.029412,MED,0.4564997321,0.5200885796,0.0234116883
