"","gameid","time","roundNum","trialType","context","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","colorMentioned","typeMentioned","clickedType","clickedColor","NormedTypicality","binaryTypicality","ColorMentioned","CleanedResponse","ItemMentioned","CatMentioned","UtteranceType","Color","ColorAndType","Type","ColorAndCat","Cat","Other","Item","Half"
"92","4041-d",1479400178924,29,"pear","informative","pear_green","target",3,4,"pear_orange","distractor",4,3,"avocado_black","distractor",2,2,1,1,0,"green pear","","1479400176422","green pear","True","True","pear","green",0.869583333333333,"typical",TRUE,"green pear",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"pear",2
"93","4041-d",1479400184056,30,"pepper","overinformative","pepper_orange","target",3,3,"avocado_black","distractor",2,2,"apple_red","distractor",4,4,1,1,0,"pepper","","1479400182568","pepper","False","True","pepper","orange",0.514074074074074,"typical",FALSE,"pepper",TRUE,FALSE,"type",0,0,1,0,0,0,"pepper",2
"94","4041-d",1479400188312,31,"pear","overinformative","pear_yellow","target",3,3,"banana_blue","distractor",4,4,"carrot_orange","distractor",2,2,1,1,0,"pear","","1479400187142","pear","False","True","pear","yellow",0.766923076923077,"typical",FALSE,"pear",TRUE,FALSE,"type",0,0,1,0,0,0,"pear",2
"95","4041-d",1479400192601,32,"pear","overinformative","pear_orange","target",3,3,"tomato_pink","distractor",4,2,"tomato_green","distractor",2,4,1,1,0,"pear","","1479400191107","pear","False","True","pear","orange",0.193103448275862,"atypical",FALSE,"pear",TRUE,FALSE,"type",0,0,1,0,0,0,"pear",2
"96","4041-d",1479400200177,33,"avocado","informative","avocado_red","target",4,4,"carrot_purple","distractor",2,2,"avocado_black","distractor",3,3,1,1,0,"red avacado","","1479400198610","red avacado","True","False","avocado","red",0.33037037037037,"atypical",TRUE,"red avocado",TRUE,FALSE,"color_and_type",0,1,0,0,0,0,"avocado",2
"97","4041-d",1479400209784,34,"avocado","overinformative-cc","avocado_black","target",3,4,"apple_red","distractor",4,3,"cup_black","distractor",2,2,1,1,0,"avacado","","1479400208429","avacado","False","False","avocado","black",0.556666666666667,"typical",FALSE,"avocado",TRUE,FALSE,"type",0,0,1,0,0,0,"avocado",2
"98","4041-d",1479400214530,35,"apple","informative","apple_blue","target",3,2,"tomato_red","distractor",4,3,"apple_green","distractor",2,4,1,1,0,"blue","","1479400213096","blue","True","False","apple","blue",0.0285185185185185,"atypical",TRUE,"blue",FALSE,FALSE,"color",1,0,0,0,0,0,"apple",2
"99","4041-d",1479400219984,36,"tomato","informative","tomato_red","target",4,3,"tomato_green","distractor",3,2,"banana_brown","distractor",2,4,1,1,0,"red","","1479400218879","red","True","False","tomato","red",0.92962962962963,"typical",TRUE,"red",FALSE,FALSE,"color",1,0,0,0,0,0,"tomato",2
"100","4041-d",1479400225008,37,"pepper","informative","pepper_green","target",2,2,"pepper_orange","distractor",3,3,"banana_blue","distractor",4,4,1,1,0,"green","","1479400223556","green","True","False","pepper","green",0.9128,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"101","4041-d",1479400239567,38,"avocado","overinformative","avocado_green","target",2,2,"pepper_orange","distractor",4,3,"tomato_red","distractor",3,4,2,2,0,"green___avacado","","1479400229725___1479400236924","green","True","False","avocado","green",0.863076923076923,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"avocado",2
