BDAFullColor,BDASize,condition,OtherColor,Item
red,size,color21,purple,stapler
brown,size,color43,black,belt
orange,size,size42,yellow,napkin
orange,size,color42,blue,cap
blue,size,size21,black,book
purple,size,color31,blue,ornament
blue,size,color41,orange,cushion
purple,size,size43,blue,rug
purple,size,color44,green,rock
brown,size,color33,green,jacket
green,size,size33,blue,binder
green,size,size41,red,pepper
red,size,size32,purple,flower
red,size,color22,pink,bucket
blue,size,color32,red,candle
purple,size,size31,orange,billiardball
red,size,size33,blue,toothbrush
blue,size,color31,green,guitar
pink,size,size42,white,teacup
white,size,color32,pink,weddingcake
green,size,color42,purple,bracelet
blue,size,color21,orange,cushion
purple,size,color32,red,yarn
pink,size,size43,white,phone
yellow,size,color33,orange,napkin
purple,size,color44,red,bike
blue,size,color22,green,binder
red,size,size43,purple,flower
brown,size,color32,green,jacket
green,size,color43,purple,rock
purple,size,size31,green,bracelet
brown,size,size32,black,belt
blue,size,size31,black,comb
blue,size,size41,orange,cushion
green,size,size21,pink,framee
blue,size,size32,purple,rug
blue,size,size33,purple,butterfly
red,size,size44,purple,stapler
pink,size,color43,white,teacup
green,size,color42,blue,guitar
green,size,size21,red,pepper
red,size,size22,purple,yarn
pink,size,size33,blue,golfball
orange,size,color44,purple,billiardball
green,size,color21,black,avocado
pink,size,color22,purple,hairdryer
brown,size,color41,black,turtle
yellow,size,color31,orange,napkin
blue,size,size22,orange,cap
black,size,size43,brown,belt
purple,size,size32,red,yarn
red,size,color42,purple,stapler
pink,size,color21,yellow,balloon
white,size,color42,yellow,shoe
purple,size,color43,green,rock
blue,size,color21,black,comb
pink,size,color22,white,weddingcake
blue,size,size44,orange,cap
black,size,color44,blue,book
green,size,size41,red,chair
orange,size,color41,yellow,napkin
blue,size,color22,orange,cushion
purple,size,color31,red,bike
blue,size,size43,green,guitar
pink,size,color31,white,teacup
blue,size,size21,red,toothbrush
white,size,color33,yellow,shoe
red,size,size42,blue,tack
white,size,size31,pink,teacup
brown,size,size41,black,turtle
purple,size,color44,orange,billiardball
pink,size,color32,purple,hairdryer
blue,size,color41,red,toothbrush
purple,size,size33,red,stapler
purple,size,size41,blue,butterfly
blue,size,size21,black,comb
purple,size,color22,blue,rug
green,size,color22,brown,jacket
blue,size,color33,orange,cushion
white,size,color21,pink,weddingcake
orange,size,size32,yellow,napkin
green,size,color43,blue,binder
pink,size,color42,red,bucket
red,size,color43,purple,yarn
red,size,color44,green,pepper
green,size,color42,black,avocado
green,size,size22,purple,bracelet
blue,size,size44,red,candle
red,size,color42,pink,bucket
purple,size,size22,orange,coathanger
blue,size,size43,black,book
black,size,color42,blue,comb
blue,size,color41,red,tack
yellow,size,color31,white,shoe
blue,size,size41,green,guitar
green,size,color21,purple,rock
white,size,size41,pink,phone
purple,size,size21,red,yarn
brown,size,color43,green,jacket
brown,size,color41,black,belt
pink,size,color33,purple,hairdryer
blue,size,color31,red,toothbrush
blue,size,color33,pink,golfball
red,size,size42,purple,bike
green,size,size31,red,chair
green,size,color21,pink,framee
black,size,color44,green,avocado
white,size,size33,pink,teacup
pink,size,size42,yellow,balloon
red,size,color32,pink,bucket
yellow,size,size42,pink,balloon
red,size,color31,green,pepper
white,size,size32,yellow,shoe
purple,size,color42,red,yarn
white,size,size31,pink,phone
orange,size,color43,purple,coathanger
red,size,color41,green,chair
brown,size,size22,green,jacket
black,size,size41,brown,turtle
blue,size,size43,black,comb
blue,size,color33,purple,ornament
purple,size,color33,red,stapler
green,size,color22,pink,framee
white,size,size31,pink,weddingcake
blue,size,size43,purple,butterfly
red,size,color21,purple,flower
blue,size,color43,purple,rug
pink,size,color42,blue,golfball
orange,size,size21,yellow,napkin
green,size,color44,purple,rock
red,size,color22,purple,yarn
red,size,color42,green,pepper
pink,size,size41,yellow,balloon
green,size,color32,black,avocado
purple,size,size42,red,flower
purple,size,size22,blue,butterfly
red,size,color44,blue,toothbrush
red,size,size44,purple,bike
black,size,color41,blue,comb
blue,size,color21,pink,golfball
purple,size,color43,orange,billiardball
blue,size,color32,green,binder
black,size,size33,blue,book
red,size,color31,pink,bucket
green,size,color43,purple,bracelet
pink,size,size43,purple,hairdryer
blue,size,color41,purple,rug
red,size,color42,blue,tack
pink,size,size22,green,framee
brown,size,size43,black,turtle
green,size,size41,brown,jacket
purple,size,size32,orange,coathanger
green,size,color31,black,avocado
green,size,size44,blue,guitar
red,size,color41,purple,flower
pink,size,color21,white,teacup
purple,size,color41,red,stapler
red,size,color44,green,chair
white,size,size22,pink,weddingcake
white,size,size41,yellow,shoe
green,size,color21,red,pepper
blue,size,size22,pink,golfball
purple,size,size42,pink,hairdryer
blue,size,color31,red,tack
pink,size,color32,white,weddingcake
blue,size,color31,green,binder
orange,size,size43,blue,cap
red,size,size22,blue,toothbrush
red,size,color21,green,chair
blue,size,color42,orange,cushion
black,size,size21,blue,book
orange,size,size32,purple,billiardball
blue,size,color32,green,guitar
blue,size,color44,red,candle
blue,size,color43,purple,butterfly
blue,size,size31,purple,ornament
green,size,size22,purple,rock
purple,size,size31,blue,ornament
purple,size,size22,red,bike
yellow,size,size43,orange,napkin
pink,size,size21,red,bucket
orange,size,color44,blue,cap
pink,size,size33,purple,hairdryer
red,size,size41,blue,toothbrush
purple,size,color31,blue,butterfly
red,size,size33,blue,tack
orange,size,size42,blue,cap
blue,size,size44,black,book
yellow,size,color42,pink,balloon
white,size,color44,pink,teacup
black,size,size22,brown,turtle
black,size,color33,blue,comb
purple,size,color43,blue,rug
pink,size,color43,purple,hairdryer
purple,size,color22,green,bracelet
purple,size,size33,blue,ornament
pink,size,color21,green,framee
pink,size,size32,red,bucket
black,size,size31,green,avocado
red,size,size33,green,chair
brown,size,color22,black,belt
white,size,size21,yellow,shoe
green,size,size41,blue,binder
blue,size,size42,red,tack
green,size,color44,brown,jacket
pink,size,size33,green,framee
blue,size,size41,black,book
brown,size,size33,green,jacket
purple,size,size43,green,bracelet
red,size,color33,green,pepper
green,size,size42,black,avocado
black,size,size21,brown,turtle
purple,size,color32,blue,ornament
red,size,size31,blue,tack
pink,size,color33,blue,golfball
pink,size,size42,purple,hairdryer
brown,size,size22,black,belt
orange,size,color33,purple,coathanger
green,size,size22,black,avocado
purple,size,color44,blue,ornament
pink,size,size43,white,teacup
green,size,color32,blue,guitar
green,size,size42,purple,rock
red,size,color32,blue,toothbrush
yellow,size,color22,white,shoe
purple,size,color31,red,flower
red,size,size32,purple,bike
green,size,color44,red,chair
pink,size,size41,white,weddingcake
orange,size,size33,blue,cap
red,size,size43,green,pepper
blue,size,color44,purple,ornament
purple,size,size41,red,yarn
green,size,size31,purple,rock
green,size,size44,brown,jacket
red,size,size21,blue,tack
pink,size,size41,blue,golfball
purple,size,size42,orange,coathanger
red,size,color32,purple,flower
blue,size,size22,orange,cushion
green,size,size32,purple,bracelet
purple,size,color31,blue,rug
purple,size,color41,blue,ornament
red,size,size42,pink,bucket
red,size,color21,green,pepper
purple,size,color42,blue,rug
orange,size,color21,purple,coathanger
white,size,color32,pink,phone
yellow,size,color33,pink,balloon
purple,size,color22,green,rock
brown,size,size43,green,jacket
black,size,color44,brown,belt
purple,size,color42,green,bracelet
green,size,color31,red,chair
red,size,size31,blue,candle
purple,size,size42,red,bike
red,size,color32,green,pepper
purple,size,size21,pink,hairdryer
pink,size,size32,white,phone
red,size,size33,purple,yarn
orange,size,color42,purple,coathanger
green,size,color43,black,avocado
pink,size,color22,yellow,balloon
orange,size,size32,blue,cap
green,size,size31,brown,jacket
orange,size,color33,purple,billiardball
pink,size,color44,blue,golfball
green,size,size41,blue,guitar
purple,size,color32,blue,rug
white,size,color31,pink,weddingcake
purple,size,color21,red,bike
red,size,size42,blue,candle
black,size,color44,blue,comb
pink,size,size22,red,bucket
blue,size,size43,green,binder
black,size,size44,brown,turtle
green,size,color22,blue,binder
red,size,size44,blue,tack
purple,size,color41,orange,billiardball
pink,size,size32,white,weddingcake
purple,size,color42,red,stapler
black,size,color31,blue,book
red,size,color42,blue,toothbrush
purple,size,size33,red,bike
purple,size,color22,pink,hairdryer
blue,size,color41,black,comb
blue,size,color33,red,candle
orange,size,size43,purple,coathanger
blue,size,size21,orange,cushion
blue,size,size31,purple,butterfly
green,size,color32,brown,jacket
black,size,size33,brown,belt
brown,size,color21,black,turtle
yellow,size,size22,white,shoe
brown,size,size42,black,turtle
black,size,size22,green,avocado
red,size,size21,green,chair
purple,size,color32,red,stapler
red,size,color33,pink,bucket
red,size,color31,blue,toothbrush
orange,size,color33,yellow,napkin
blue,size,size43,orange,cushion
purple,size,color21,green,bracelet
