gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,typeAttributeMentioned,noAttrOrLevelMentioned,basiclevelAttributeMentioned,basiclevelMentioned,superClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
5628-2,1450000000000,9,subSuperTrial,distr22,eagle,target,2,4,bird,animal,lion,distrClass2,3,2,NA,animal,iguana,distrClass2,4,3,NA,animal,1,1,0,eagle,,1450000000000,eagle,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,eagle,NA,NA,,,,
4842-f,1450000000000,60,subSuperTrial,distr22,pigeon,target,4,2,bird,animal,squirrel,distrClass2,2,4,NA,animal,iguana,distrClass2,3,3,NA,animal,1,1,0,sends messages,,1450000000000,sends messages,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,pigeon,NA,NA,,,,
4452-5,1450000000000,27,subSuperTrial,distr22,pug,target,4,4,dog,animal,chick,distrClass2,2,2,NA,animal,iguana,distrClass2,3,3,NA,animal,1,1,0,pug,,1450000000000,pug,FALSE,FALSE,TRUE,,,FALSE,,,,,,,,pug,NA,NA,,,,
9551-7,1450000000000,15,subSuperTrial,distr22,sunflower,target,2,4,flower,plant,grasses,distrClass2,4,3,NA,plant,ivy,distrClass2,3,2,NA,plant,1,1,0,yellow,,1450000000000,yellow,FALSE,TRUE,FALSE,,,x,,,,,,,,sunflower,NA,NA,,,,
4842-f,1450000000000,17,subSuperTrial,distr22,rose,target,2,2,flower,plant,rosemary,distrClass2,3,4,NA,plant,ivy,distrClass2,4,3,NA,plant,1,1,0,beautiful,,1450000000000,beautiful,FALSE,FALSE,FALSE,TRUE,,x,,,,,,,,rose,NA,NA,,,,
9807-5,1450000000000,48,subSuperTrial,distr22,polarBear,target,4,4,bear,animal,crocodile,distrClass2,2,3,NA,animal,kitten,distrClass2,3,2,NA,animal,1,1,0,bear,,1450000000000,bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,polarBear,NA,NA,,,,
4517-f,1450000000000,44,subSuperTrial,distr22,dalmatian,target,3,2,dog,animal,rabbit,distrClass2,4,3,NA,animal,kitten,distrClass2,2,4,NA,animal,1,1,0,dog ,,1450000000000,dog ,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,dalmatian,NA,NA,,,,
5934-3,1450000000000,17,subSuperTrial,distr22,blackBear,target,2,2,bear,animal,horse,distrClass2,4,4,NA,animal,lion,distrClass2,3,3,NA,animal,1,1,0,the bear,,1450000000000,the bear,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,TRUE,blackBear,NA,NA,,,,
7830-a,1450000000000,64,subSuperTrial,distr22,germanShepherd,target,2,3,dog,animal,horse,distrClass2,4,4,NA,animal,lion,distrClass2,3,2,NA,animal,1,1,0,doggy,,1450000000000,doggy,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,germanShepherd,NA,NA,,,,
9807-5,1450000000000,18,subSuperTrial,distr22,clownFish,target,4,3,fish,animal,pig,distrClass2,3,2,NA,animal,lion,distrClass2,2,4,NA,animal,1,1,0,fish,,1450000000000,fish,FALSE,FALSE,FALSE,,,FALSE,,TRUE,,,,,,clownFish,NA,NA,,,,
