nameClickedObj,condition,DistractorCombo
blackbear,distr33,cookies ivy
catfish,distr33,cookies wardrobe
tulip,distr33,bed cow
minivan,distr33,cow sheep
diningtable,distr33,crocodile lobster
jellybeans,distr33,crocodile lamp
clownfish,distr33,dress grasses
germanshepherd,distr33,dress motorcycle
coffeetable,distr33,bison elephant
clownfish,distr33,bed firetruck
sunflower,distr33,firetruck lion
picnictable,distr33,firetruck rabbit
suv,distr33,cow grasses
mnms,distr33,crocodile grasses
minivan,distr33,dress grasses
polarbear,distr33,chips grasses
pug,distr33,grasses pretzels
poloshirt,distr33,grasses rabbit
rose,distr33,horse pretzels
convertible,distr33,horse socks
picnictable,distr33,chick kitten
diningtable,distr33,lion squirrel
skittles,distr33,gloves lobster
mnms,distr33,dress lobster
dressshirt,distr33,ivy lobster
goldfish,distr33,bed motorcycle
pigeon,distr33,chips motorcycle
blackbear,distr33,bathrobe popcorn
blackbear,distr33,bookcase popcorn
germanshepherd,distr33,gloves popcorn
convertible,distr33,dress popcorn
germanshepherd,distr33,popcorn pottedPlant
parrot,distr33,pottedPlant pottedPlant
pug,distr33,bookcase pretzels
minivan,distr33,crocodile pretzels
dalmatian,distr33,gloves pretzels
grizzlybear,distr33,firetruck pretzels
gummybears,distr33,cow rabbit
tulip,distr33,rabbit train
husky,distr33,dress rosemary
husky,distr33,ivy rosemary
pandabear,distr33,lamp rosemary
sportscar,distr33,pretzels sheep
pandabear,distr33,bed socks
goldfish,distr33,ambulance socks
blackbear,distr33,bathrobe socks
pigeon,distr33,rosemary socks
suv,distr33,lion socks
convertible,distr33,lobster socks
gummybears,distr33,squirrel train
swordfish,distr33,gloves train
pug,distr33,pottedPlant train
pandabear,distr33,train wardrobe
swordfish,distr33,firetruck train
tshirt,distr33,grasses train
hawaiishirt,distr33,squirrel train
gummybears,distr33,firetruck wardrobe
hummingbird,distr33,bookcase wardrobe
grizzlybear,distr33,bathrobe bookcase
blackbear,distr33,bookcase grasses
rose,distr33,chick dress
gummybears,distr33,chick firetruck
coffeetable,distr33,chick rabbit
hummingbird,distr33,chips grasses
dalmatian,distr33,chips train
suv,distr33,chips wardrobe
parrot,distr33,bathrobe cookies
rose,distr33,bathrobe cookies
polarbear,distr33,cookies rosemary
catfish,distr33,cookies rosemary
husky,distr33,cookies socks
eagle,distr33,dress popcorn
dressshirt,distr33,chips elephant
diningtable,distr33,elephant pretzels
jellybeans,distr33,bed firetruck
pigeon,distr33,bookcase firetruck
eagle,distr33,chips firetruck
sunflower,distr33,cow firetruck
skittles,distr33,firetruck squirrel
hummingbird,distr33,firetruck train
skittles,distr33,bathrobe gloves
dalmatian,distr33,ambulance gloves
clownfish,distr33,gloves socks
skittles,distr33,bookcase gloves
grizzlybear,distr33,grasses train
minivan,distr33,bathrobe horse
hawaiishirt,distr33,horse pig
skittles,distr33,ambulance iguana
sunflower,distr33,dress iguana
convertible,distr33,grasses iguana
sunflower,distr33,cookies iguana
pigeon,distr33,bed ivy
clownfish,distr33,bed ivy
poloshirt,distr33,crocodile ivy
catfish,distr33,firetruck ivy
eagle,distr33,ivy ivy
grizzlybear,distr33,ivy pottedPlant
suv,distr33,ivy sheep
husky,distr33,chips ivy
